Age,,,,,
49,,,,,
44,,,,,
50,,,,,
46,,,,,
31,,,,,
27,,,,,
52,,,,,
72,,,,,
33,,,,,
46,,,,,
52,,,,,
24,,,,,
43,,,,,
44,,,,,
43,,,,,
26,,,,,
40,,,,,
57,,,,,
43,,,,,
30,,,,,
50,,,,,
35,,,,,
66,,,,,
59,,,,,
37,,,,,
55,,,,,
64,,,,,
37,,,,,
36,,,,,
31,,,,,
31,,,,,
21,,,,,
56,,,,,
32,,,,,
40,,,,,
43,,,,,
61,,,,,
43,,,,,
50,,,,,
47,,,,,
