Amount Raised (in Millions)
$81 
$80 
$69 
$73 
$192 
$91 
$47 
$154 
$48 
$54 
$61 
$51 
$119 
$50 
$18 
$272 
$24 
$72 
$118 
$112 
$103 
$130 
$81 
$110 
$54 
$58 
$57 
$38 
$40 
$129 
$166 
$77 
$60 
$21 
$49 
$54 
$78 
$131 
$49 
$156 
$168 
$78 
$20 
$60 
$63 
$40 
$78 
$52 
$55 
$31 
