Color
Red
Orange
Red
Green
Green
Red
Red
Yellow
Yellow
Red
Red
Blue
Blue
Yellow
Orange
Red
Blue
Green
Green
Brown
Blue
Blue
Orange
Red
Orange
Orange
Red
Blue
Yellow
Red
Green
Orange
Blue
Brown
Green
Blue
Green
Yellow
Brown
Brown
Green
Blue
Blue
Blue
Red
Brown
Blue
Yellow
Yellow
Red
Red
Orange
Red
Blue
Green
Green
Orange
Brown
Orange
Blue
Orange
Brown
Green
Green
Orange
Green
Blue
Green
Brown
Yellow
Red
Red
Orange
Orange
Yellow
Green
Orange
Green
Yellow
Orange
Orange
Yellow
Red
Orange
Brown
Brown
Brown
Yellow
Brown
Orange
Blue
Brown
Red
Brown
Blue
Yellow
Red
Yellow
Blue
Green
Yellow
Orange
Yellow
Brown
Yellow
Green
Green
Blue
Orange
Blue
Brown
Green
Green
Blue
Orange
Green
Brown
Green
Yellow
Green
Green
Brown
Blue
Yellow
Blue
Brown
Green
Green
Yellow
Red
Orange
Brown
Green
Brown
Blue
Yellow
Blue
Red
Brown
Orange
Orange
Yellow
Yellow
Green
Yellow
Blue
Blue
Brown
Yellow
Yellow
Blue
Green
Blue
Orange
Blue
Blue
Yellow
Brown
Yellow
Orange
Green
Blue
Blue
Brown
Red
Brown
Green
Blue
Blue
Green
Green
Red
Blue
Green
Orange
Blue
Blue
Brown
Orange
Brown
Blue
Red
Green
Blue
Green
Yellow
Blue
Brown
Blue
Green
Yellow
Yellow
Brown
Yellow
Red
Orange
Green
Green
Blue
Blue
Green
Brown
Orange
Orange
Brown
Brown
Orange
Yellow
Orange
Orange
Orange
Orange
Brown
Orange
Orange
Brown
Red
Blue
Red
Orange
Brown
Red
Red
Brown
Blue
Blue
Green
Green
Green
Green
Yellow
Brown
Red
Red
Green
Orange
Green
Orange
Blue
Brown
Yellow
Green
Blue
Orange
Yellow
Yellow
Orange
Yellow
Green
Blue
Orange
Blue
Blue
Green
Green
Blue
Brown
Yellow
Blue
Blue
Yellow
Yellow
Red
Orange
Red
Orange
Blue
Brown
Brown
Blue
Green
Yellow
Orange
Orange
Blue
Green
Brown
Brown
Red
Red
Blue
Yellow
Yellow
Brown
Green
Blue
Blue
Brown
Green
Blue
Red
Brown
Green
Green
Orange
Green
Blue
Brown
Yellow
Orange
Blue
Yellow
Blue
Orange
Red
Red
Blue
Orange
Green
Yellow
Green
Yellow
Brown
Orange
Orange
Brown
Blue
Green
Blue
Red
Red
Blue
Blue
Orange
Orange
Red
Blue
Brown
Red
Brown
Green
Yellow
Yellow
Red
Orange
Red
Blue
Blue
Green
Red
Blue
Yellow
Blue
Brown
Yellow
Orange
Yellow
Blue
Red
Blue
Red
Yellow
Brown
Brown
Orange
Red
Yellow
Green
Green
Red
Blue
Green
Blue
Yellow
Yellow
Blue
Orange
Yellow
Red
Red
Blue
Red
Blue
Blue
Green
Yellow
Orange
Orange
Brown
Red
Green
Brown
Blue
Yellow
Green
Brown
Brown
Yellow
Red
Red
Orange
Green
Yellow
Yellow
Red
Blue
Brown
Yellow
Green
Red
Yellow
Red
Blue
Red
Green
Orange
Brown
Blue
Blue
Green
Red
Yellow
Orange
Blue
Yellow
Orange
Orange
Yellow
Red
Blue
Orange
Red
Red
Blue
Blue
Orange
Orange
Brown
Brown
Yellow
Red
Green
Orange
Brown
Red
Orange
Green
Yellow
Yellow
Green
Blue
Red
Yellow
Blue
Orange
Blue
Yellow
Green
Yellow
Green
Brown
Yellow
Red
Green
Yellow
Blue
Blue
Orange
Brown
Brown
Green
Orange
Orange
Green
Green
Brown
Blue
Green
Blue
Yellow
Red
Brown
Orange
Red
Green
Orange
Green
Blue
Orange
Blue
Red
Green
Blue
Brown
Orange
Orange
Orange
Orange
Blue
Yellow
Green
Green
Blue
Green
Yellow
Brown
Orange
Blue
Yellow
Brown
